activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.61Z,boulevard,VICTOR HUGO,LES MUREAUX,78130,78,POINT (2.3339121 48.8848279),2.3339121,48.8848279
47.61Z,rue,GAY LUSSAC,PARIS 5,75005,75,POINT (2.3328672 48.7924539),2.3328672,48.7924539
47.61Z,boulevard,DE MENILMONTANT,PARIS 11,75011,75,POINT (2.3467438 48.8511997),2.3467438,48.8511997
47.61Z,boulevard,DE MENILMONTANT,PARIS 11,75011,75,POINT (2.3228366 48.8406507),2.3228366,48.8406507
47.61Z,rue,DE LA PAROISSE,FONTAINEBLEAU,77300,77,POINT (2.3640202 48.8565084),2.3640202,48.8565084
47.61Z,rue,MONSIEUR LE PRINCE,PARIS 6,75006,75,POINT (2.3284622 48.8452463),2.3284622,48.8452463
47.61Z,rue,SAINT ANTOINE,PARIS 4,75004,75,POINT (2.3889424 48.8541037),2.3889424,48.8541037
47.61Z,rue,SAINT ANTOINE,PARIS 4,75004,75,POINT (2.3290882 48.8513423),2.3290882,48.8513423
47.61Z,rue,MONSIEUR LE PRINCE,PARIS 6,75006,75,POINT (2.3095767 48.9723791),2.3095767,48.9723791
47.61Z,,BAUDRICOURT,PARIS 13,75013,75,POINT (2.2911074 48.8444202),2.2911074,48.8444202
47.61Z,avenue,JEAN JAURES,CLAMART,92140,92,POINT (2.432803 48.8485432),2.432803,48.8485432
47.61Z,rue,MONGE,PARIS 5,75005,75,POINT (2.432803 48.8485432),2.432803,48.8485432
47.61Z,rue,DU ROI DE SICILE,PARIS 4,75004,75,POINT (2.2846059 48.8921019),2.2846059,48.8921019
47.61Z,rue,LEPIC,PARIS 18,75018,75,POINT (2.343631 48.8529342),2.343631,48.8529342
47.61Z,rue,CAMILLE DESMOULINS,CACHAN,94230,94,POINT (2.3829147 48.8943485),2.3829147,48.8943485
47.61Z,rue,DANTE,PARIS 5,75005,75,POINT (2.3386282 48.872335),2.3386282,48.872335
47.61Z,rue,DU MAINE,PARIS 14,75014,75,POINT (2.3809327 48.8653394),2.3809327,48.8653394
47.61Z,rue,DES FRANCS BOURGEOIS,PARIS 3,75003,75,POINT (2.3473226 48.8497238),2.3473226,48.8497238
47.61Z,rue,NOTRE DAME DES CHAMPS,PARIS 6,75006,75,POINT (2.3482304 48.8419935),2.3482304,48.8419935
47.61Z,rue,NEUVE DES BOULETS,PARIS 11,75011,75,POINT (2.3440061 48.845788),2.3440061,48.845788
47.61Z,rue,DU CHERCHE MIDI,PARIS 6,75006,75,POINT (2.1345453 48.8921846),2.1345453,48.8921846
47.61Z,rue,DU GENERAL DE GAULLE,ENGHIEN-LES-BAINS,95880,95,POINT (2.3150661 48.8579688),2.3150661,48.8579688
47.61Z,rue,DES ENTREPRENEURS,PARIS 15,75015,75,POINT (2.3244649 48.8423085),2.3244649,48.8423085
47.61Z,rue,DE FONTENAY,VINCENNES,94300,94,POINT (2.3742925 48.8526821),2.3742925,48.8526821
47.61Z,rue,DE FONTENAY,VINCENNES,94300,94,POINT (2.3392533 48.850576),2.3392533,48.850576
47.61Z,rue,VOLTAIRE,LEVALLOIS-PERRET,92300,92,POINT (2.3285446 48.8569529),2.3285446,48.8569529
47.61Z,boulevard,SAINT MICHEL,PARIS 6,75006,75,POINT (2.3259767 48.8552051),2.3259767,48.8552051
47.61Z,rue,ROUVET,PARIS 19,75019,75,POINT (2.3362217 48.8547705),2.3362217,48.8547705
47.61Z,boulevard,HAUSSMANN,PARIS 8,75008,75,POINT (2.3308864 48.8327946),2.3308864,48.8327946
47.61Z,avenue,JEAN AICARD,PARIS 11,75011,75,POINT (2.6268233 48.8563433),2.6268233,48.8563433
47.61Z,rue,DU SOMMERARD,PARIS 5,75005,75,POINT (2.5891332 48.8787492),2.5891332,48.8787492
47.61Z,rue,TOURNEFORT,PARIS 5,75005,75,POINT (2.343246 48.8518873),2.343246,48.8518873
47.61Z,rue,DES FOSSES ST JACQUES,PARIS 5,75005,75,POINT (2.3389152 48.8535801),2.3389152,48.8535801
47.61Z,rue,DU MARECHAL FOCH,LE VESINET,78110,78,POINT (2.1444899 48.8049459),2.1444899,48.8049459
47.61Z,rue,DE GRENELLE,PARIS 7,75007,75,POINT (2.388057 48.8832246),2.388057,48.8832246
47.61Z,rue,D ODESSA,PARIS 14,75014,75,POINT (2.5789292 48.8273121),2.5789292,48.8273121
47.61Z,rue,CASIMIR DELAVIGNE,PARIS 6,75006,75,POINT (2.3044482 48.8834212),2.3044482,48.8834212
47.61Z,rue,GASTON GALLIMARD,PARIS 7,75007,75,POINT (2.3376852 48.8810319),2.3376852,48.8810319
