activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
10.71C,boulevard,DE LA REPUBLIQUE,SAINT-CLOUD,92064,92,POINT (2.1698765 48.5706143),48.5706143,2.1698765
10.71C,rue,DU GENERAL DE GAULLE,BOURRON-MARLOTTE,77048,77,POINT (2.1825157 48.879215),48.879215,2.1825157
10.71C,avenue,PIERRE BEREGOVOY,VILLEPINTE,93078,93,POINT (2.7048184 48.8791561),48.8791561,2.7048184
10.71C,avenue,PIERRE BEREGOVOY,VILLEPINTE,93078,93,POINT (2.2835858 48.8867891),48.8867891,2.2835858
10.71C,rue,JULES ALEX GEOFFROY,CORBEIL-ESSONNES,91174,91,POINT (2.2835858 48.8867891),48.8867891,2.2835858
10.71C,avenue,PIERRE BEREGOVOY,VILLEPINTE,93078,93,POINT (2.2818471 48.8248041),48.8248041,2.2818471
10.71C,avenue,CLAUDE BERNARD,CHELLES,77108,77,POINT (3.0755747 49.0905488),49.0905488,3.0755747
10.71C,rue,LAENNEC,CHELLES,77108,77,POINT (2.2826724 48.9155548),48.9155548,2.2826724
10.71C,rue,DE SEINE,PARIS 6,75106,75,POINT (2.3837443 48.8839547),48.8839547,2.3837443
10.71C,rue,CARTIER BRESSON,PANTIN,93055,93,POINT (2.3381681 48.884614),48.884614,2.3381681
10.71C,rue,DES ECOLES,BREUILLET,91105,91,POINT (2.2092571 48.9341042),48.9341042,2.2092571
10.71C,rue,DU CHEMIN DE FER,LAGNY-SUR-MARNE,77243,77,POINT (2.2653921 48.8032003),48.8032003,2.2653921
10.71C,rue,LOUISE MICHEL,LEVALLOIS-PERRET,92044,92,POINT (2.2847993 49.1437497),49.1437497,2.2847993
10.71C,rue,LOUISE MICHEL,LEVALLOIS-PERRET,92044,92,POINT (2.3505238 48.892748),48.892748,2.3505238
10.71C,boulevard,DU LYCEE,VANVES,92075,92,POINT (2.3794132 48.8670129),48.8670129,2.3794132
10.71C,place,DU MARCHE,CROUY-SUR-OURCQ,77148,77,POINT (2.3747317 48.869769),48.869769,2.3747317
10.71C,avenue,D ARGENTEUIL,ASNIERES-SUR-SEINE,92004,92,POINT (2.3559738 48.8850289),48.8850289,2.3559738
10.71C,rue,MEYNADIER,PARIS 19,75119,75,POINT (2.3538365 48.8846948),48.8846948,2.3538365
10.71C,rue,DES ABBESSES,PARIS 18,75118,75,POINT (2.8763528 48.7284491),48.7284491,2.8763528
10.71C,avenue,GABRIEL PERI,BEZONS,95063,95,POINT (2.3480108 48.851807),48.851807,2.3480108
10.71C,rue,DU FBG DU TEMPLE,PARIS 10,75110,75,POINT (2.3246096 48.8912155),48.8912155,2.3246096
10.71C,boulevard,DE MENILMONTANT,PARIS 11,75111,75,POINT (2.3501272 48.8276982),48.8276982,2.3501272
10.71C,rue,MARTIN,CLAMART,92023,92,POINT (2.3714261 48.915282),48.915282,2.3714261
10.71C,rue,NATIONALE,BEAUMONT-SUR-OISE,95052,95,POINT (2.3830466 48.9760993),48.9760993,2.3830466
10.71C,rue,BOINOD,PARIS 18,75118,75,POINT (2.3138143 48.8870456),48.8870456,2.3138143
10.71C,rue,MORET,PARIS 11,75111,75,POINT (2.3893899 48.8727126),48.8727126,2.3893899
10.71C,rue,DE L ORILLON,PARIS 11,75111,75,POINT (2.4769003912689813 48.800200849999996),48.800200849999996,2.4769003912689813
10.71C,rue,DE JESSAINT,PARIS 18,75118,75,POINT (2.2896345 48.8323435),48.8323435,2.2896345
10.71C,rue,DE CHARTRES,PARIS 18,75118,75,POINT (2.1278215 48.7993222),48.7993222,2.1278215
10.71C,rue,CARON,MARLES-EN-BRIE,77277,77,POINT (2.431117 48.9910845),48.9910845,2.431117
10.71C,rue,LAGRANGE,PARIS 5,75105,75,POINT (2.4154122 48.854373),48.854373,2.4154122
10.71C,rue,DAVY,PARIS 17,75117,75,POINT (2.5369233 48.9205428),48.9205428,2.5369233
10.71C,rue,DE LA BUTTE AUX CAILLES,PARIS 13,75113,75,POINT (2.3793349 48.8852147),48.8852147,2.3793349
