activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.22Z,rue,DES FUSILLES DE LA RESISTANCE,PUTEAUX,92062,92,POINT (2.0343064 49.0496433),49.0496433,2.0343064
47.22Z,rue,GABRIEL PERI,SAINT-DENIS,93066,93,POINT (2.2500562 48.8326619),48.8326619,2.2500562
47.22Z,rue,PERGOLESE,PARIS 16,75116,75,POINT (2.3472814 48.8795194),48.8795194,2.3472814
47.22Z,allée,COMMERCE,CRETEIL,94028,94,POINT (2.2939552 48.9567022),48.9567022,2.2939552
47.22Z,avenue,VICTOR CRESSON,ISSY-LES-MOULINEAUX,92040,92,POINT (2.1118701 49.0373776),49.0373776,2.1118701
47.22Z,avenue,JEAN LOLIVE,PANTIN,93055,93,POINT (2.3477366 48.9366394),48.9366394,2.3477366
47.22Z,boulevard,CHANZY,LIVRY-GARGAN,93046,93,POINT (2.2744204 48.8625103),48.8625103,2.2744204
47.22Z,rue,DANIELLE CASANOVA,MONTEREAU-FAULT-YONNE,77305,77,POINT (2.3171107 48.8434366),48.8434366,2.3171107
47.22Z,rue,DU DOCTEUR CHARLES RICHET,PARIS 13,75113,75,POINT (2.5063583 48.8917389),48.8917389,2.5063583
47.22Z,avenue,EUGENE THOMAS,LE KREMLIN-BICETRE,94043,94,POINT (2.0069197 48.3143214),48.3143214,2.0069197
47.22Z,rue,DES CLOS FRANCAIS,MONTREUIL,93048,93,POINT (2.3848884 48.917731),48.917731,2.3848884
47.22Z,place,JACQUES DUCLOS,MONTREUIL,93048,93,POINT (2.3086972 48.896312),48.896312,2.3086972
47.22Z,avenue,DU GENERAL DE GAULLE,SAINT OUEN L'AUMONE,95572,95,POINT (2.7020226 48.149298),48.149298,2.7020226
47.22Z,boulevard,GALLIENI,VILLENEUVE-LA-GARENNE,92078,92,POINT (2.3713726 48.8791992),48.8791992,2.3713726
47.22Z,chemin,DU BAC,PRECY-SUR-MARNE,77376,77,POINT (2.2204193 48.9326066),48.9326066,2.2204193
47.22Z,avenue,DE PARIS,VINCENNES,94080,94,POINT (2.3849794 48.8674556),48.8674556,2.3849794
47.22Z,rue,DE DAMPIERRE,GUYANCOURT,78297,78,POINT (2.3618227 49.0311576),49.0311576,2.3618227
47.22Z,rue,DE LA GARE,BRUNOY,91114,91,POINT (2.2826724 48.9155548),48.9155548,2.2826724
47.22Z,rue,D ALIGRE,PARIS 12,75112,75,POINT (2.3482531 48.8678903),48.8678903,2.3482531
47.22Z,place,GASTON VIENS,ORLY,94054,94,POINT (2.318765 48.8882843),48.8882843,2.318765
47.22Z,rue,DANTON,GENNEVILLIERS,92036,92,POINT (2.5110874 48.7909351),48.7909351,2.5110874
47.22Z,,BEAUVAL CENTRE CAL COLBERT,MEAUX,77284,77,POINT (2.3470376 48.8881747),48.8881747,2.3470376
47.22Z,rue,DE PARIS,LES LILAS,93045,93,POINT (2.2479347 48.8291635),48.8291635,2.2479347
47.22Z,allée,DU FORUM,BOULOGNE-BILLANCOURT,92012,92,POINT (2.3779069 48.8810346),48.8810346,2.3779069
47.22Z,rue,DU REVEREND PERE C GILBERT,ASNIERES-SUR-SEINE,92004,92,POINT (2.4465654 48.9223878),48.9223878,2.4465654
47.22Z,avenue,PAUL RAOULT,LES MUREAUX,78440,78,POINT (3.2668855 48.7613929),48.7613929,3.2668855
47.22Z,avenue,DE LA REPUBLIQUE,QUINCY-VOISINS,77382,77,POINT (2.356524 48.8294546),48.8294546,2.356524
47.22Z,rue,DESCARTES,EVRY-COURCOURONNES,91228,91,POINT (2.5525375 48.8381048),48.8381048,2.5525375
47.22Z,rue,DES POSTILLONS,SAINT-DENIS,93066,93,POINT (2.2785609 48.6727604),48.6727604,2.2785609
47.22Z,rue,DE CHEVILLY,VILLEJUIF,94076,94,POINT (2.4176827 48.849049),48.849049,2.4176827
47.22Z,avenue,PIERRE GRENIER,BOULOGNE-BILLANCOURT,92012,92,POINT (2.5422999 48.9619253),48.9619253,2.5422999
47.22Z,avenue,DE VERDUN,VILLENEUVE-LA-GARENNE,92078,92,POINT (2.4538375 48.7904688),48.7904688,2.4538375
47.22Z,rue,DE ROME,PARIS 8,75108,75,POINT (1.6843383 49.0000618),49.0000618,1.6843383
47.22Z,rue,MARCELIN BERTHELOT,LA COURNEUVE,93027,93,POINT (2.0578051 48.9897089),48.9897089,2.0578051
47.22Z,rue,DES CHANTIERS,VERSAILLES,78646,78,POINT (2.4505142 48.8702332),48.8702332,2.4505142
47.22Z,boulevard,DE BELLEVILLE,PARIS 11,75111,75,POINT (2.428695 48.937565),48.937565,2.428695
47.22Z,allée,DES CHAMPS ELYSEES,EVRY-COURCOURONNES,91228,91,POINT (1.9610579 48.8260912),48.8260912,1.9610579
47.22Z,rue,DE LA BAUVE,MEAUX,77284,77,POINT (2.2511634 48.5878755),48.5878755,2.2511634
47.22Z,rue,EDOUARD VAILLANT,BONDY,93010,93,POINT (2.375236 48.8469789),48.8469789,2.375236
47.22Z,rue,CURIAL,PARIS 19,75119,75,POINT (2.3444789 48.8770896),48.8770896,2.3444789
47.22Z,rue,VOLTAIRE,MONTREUIL,93048,93,POINT (2.2983559 48.8777215),48.8777215,2.2983559
47.22Z,boulevard,VOLTAIRE,ASNIERES-SUR-SEINE,92004,92,POINT (2.3607863 48.9656802),48.9656802,2.3607863
47.22Z,avenue,DU HUIT MAI 1945,SAVIGNY-LE-TEMPLE,77445,77,POINT (2.2564861 48.9489956),48.9489956,2.2564861
47.22Z,avenue,DUQUESNE,PARIS 7,75107,75,POINT (2.4090223 48.9194522),48.9194522,2.4090223
47.22Z,boulevard,ST DENIS,PARIS 10,75110,75,POINT (2.3350058 48.8650349),48.8650349,2.3350058
47.22Z,allée,JEAN LOUIS BARRAULT,MEAUX,77284,77,POINT (2.3623965 48.8694767),48.8694767,2.3623965
47.22Z,rue,DE LA REPUBLIQUE,ETAMPES,91223,91,POINT (2.3840141 48.9232974),48.9232974,2.3840141
47.22Z,rue,JEAN MONNET,BUSSY-SAINT-GEORGES,77058,77,POINT (2.3253257 48.884156),48.884156,2.3253257
47.22Z,rue,ERNEST DELOISON,NEUILLY-SUR-SEINE,92051,92,POINT (2.3758421 48.8246754),48.8246754,2.3758421
47.22Z,rue,LA FAYETTE,PARIS 10,75110,75,POINT (2.349257 48.844859),48.844859,2.349257
47.22Z,place,LOUIS-XIII,RUNGIS,94065,94,POINT (2.6040111 48.7014522),48.7014522,2.6040111
47.22Z,rue,DE POLOGNE,SAINT-GERMAIN-EN-LAYE,78551,78,POINT (2.3729764 48.8367911),48.8367911,2.3729764
47.22Z,avenue,DE LA REPUBLIQUE,AUBERVILLIERS,93001,93,POINT (2.5154213 48.896706),48.896706,2.5154213
47.22Z,avenue,DES BRUYERES,MORSANG-SUR-ORGE,91434,91,POINT (2.1703761 49.1303428),49.1303428,2.1703761
47.22Z,rue,GABRIEL PERI,COLOMBES,92025,92,POINT (2.544623 48.5309427),48.5309427,2.544623
47.22Z,rue,PAUL BERT,VILLENEUVE-LE-ROI,94077,94,POINT (2.1675099 48.7637153),48.7637153,2.1675099
47.22Z,avenue,HENRI BARBUSSE,DRANCY,93029,93,POINT (2.3008142 48.7898566),48.7898566,2.3008142
