activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.73Z,avenue,PAUL VALERY,SARCELLES,95200,95,POINT (2.2946262 48.9266405),2.2946262,48.9266405
47.73Z,rue,DU FOUR,PARIS 6,75006,75,POINT (2.2562921 48.9721887),2.2562921,48.9721887
47.73Z,avenue,DE FRIEDLAND,PARIS 8,75008,75,POINT (2.3228631 48.8186535),2.3228631,48.8186535
47.73Z,place,DE LA REVOLUTION,ROISSY-EN-BRIE,77680,77,POINT (2.5446 48.92305),2.5446,48.92305
47.73Z,avenue,DE LA PORTE BRUNET,PARIS 19,75019,75,POINT (2.4531255 48.8784239),2.4531255,48.8784239
47.73Z,,DE GRIGNY,VIRY-CHATILLON,91170,91,POINT (2.4573433 48.8882016),2.4573433,48.8882016
47.73Z,avenue,PIERRE SEMARD,VILLIERS-LE-BEL,95400,95,POINT (2.2834513 48.859108),2.2834513,48.859108
47.73Z,rue,LOUISE MICHEL,LEVALLOIS-PERRET,92300,92,POINT (2.3968497 48.7783132),2.3968497,48.7783132
47.73Z,avenue,D ALIGRE,AULNAY-SOUS-BOIS,93600,93,POINT (2.5493047 48.6340984),2.5493047,48.6340984
47.73Z,boulevard,VICTOR HUGO,CLICHY,92110,92,POINT (2.0937177 48.9989567),2.0937177,48.9989567
47.73Z,rue,DE COURCELLES,PARIS 17,75017,75,POINT (2.3244649 48.8423085),2.3244649,48.8423085
47.73Z,avenue,LOUIS ARAGON,BOBIGNY,93000,93,POINT (2.25678408383908 48.97176225),2.25678408383908,48.97176225
47.73Z,allée,DES TROENES,SCEAUX,92330,92,POINT (2.271626095898412 48.7929956),2.271626095898412,48.7929956
47.73Z,rue,DU FBG ST ANTOINE,PARIS 12,75012,75,POINT (2.2926242 48.5640689),2.2926242,48.5640689
47.73Z,rue,JEAN JAURES,ARNOUVILLE,95400,95,POINT (2.3010407 48.8185283),2.3010407,48.8185283
47.73Z,avenue,PIERRE BROSSOLETTE,LE PERREUX-SUR-MARNE,94170,94,POINT (2.266289 48.8405975),2.266289,48.8405975
47.73Z,avenue,CARNOT,CONFLANS-SAINTE-HONORINE,78700,78,POINT (2.2575484 48.8859434),2.2575484,48.8859434
47.73Z,rue,DE LA PASSERELLE,CHILLY-MAZARIN,91380,91,POINT (2.3935107 48.8472087),2.3935107,48.8472087
47.73Z,avenue,DE SAINT OUEN,PARIS 18,75018,75,POINT (2.3246543 48.8689596),2.3246543,48.8689596
47.73Z,avenue,DE VERDUN,ARGENTEUIL,95100,95,POINT (2.3636238 48.8696205),2.3636238,48.8696205
47.73Z,rue,ANATOLE DE LA FORGE,PARIS 17,75017,75,POINT (1.8828592 48.8096956),1.8828592,48.8096956
