activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
10.71C,rue,CARTIER BRESSON,PANTIN,93500,93,POINT (48.9155548 2.2826724),2.2826724,48.9155548
10.71C,rue,DES ECOLES,BREUILLET,91650,91,POINT (48.8839547 2.3837443),2.3837443,48.8839547
10.71C,boulevard,MAL JOFFRE,RUEIL-MALMAISON,92500,92,POINT (48.884614 2.3381681),2.3381681,48.884614
10.71C,rue,DU CHEMIN DE FER,LAGNY-SUR-MARNE,77400,77,POINT (48.9341042 2.2092571),2.2092571,48.9341042
10.71C,rue,LOUISE MICHEL,LEVALLOIS-PERRET,92300,92,POINT (48.8032003 2.2653921),2.2653921,48.8032003
10.71C,boulevard,DU LYCEE,VANVES,92170,92,POINT (49.1437497 2.2847993),2.2847993,49.1437497
10.71C,place,DU MARCHE,CROUY-SUR-OURCQ,77840,77,POINT (48.892748 2.3505238),2.3505238,48.892748
10.71C,avenue,D ARGENTEUIL,ASNIERES-SUR-SEINE,92600,92,POINT (48.8670129 2.3794132),2.3794132,48.8670129
10.71C,rue,MEYNADIER,PARIS 19,75019,75,POINT (48.869769 2.3747317),2.3747317,48.869769
10.71C,rue,DES ABBESSES,PARIS 18,75018,75,POINT (48.8850289 2.3559738),2.3559738,48.8850289
10.71C,avenue,GABRIEL PERI,BEZONS,95870,95,POINT (48.8846948 2.3538365),2.3538365,48.8846948
10.71C,rue,DU FBG DU TEMPLE,PARIS 10,75010,75,POINT (48.7284491 2.8763528),2.8763528,48.7284491
10.71C,boulevard,DE MENILMONTANT,PARIS 11,75011,75,POINT (48.851807 2.3480108),2.3480108,48.851807
10.71C,rue,MARTIN,CLAMART,92140,92,POINT (48.8912155 2.3246096),2.3246096,48.8912155
10.71C,rue,NATIONALE,BEAUMONT-SUR-OISE,95260,95,POINT (48.8276982 2.3501272),2.3501272,48.8276982
10.71C,rue,BOINOD,PARIS 18,75018,75,POINT (48.915282 2.3714261),2.3714261,48.915282
10.71C,rue,MORET,PARIS 11,75011,75,POINT (48.9760993 2.3830466),2.3830466,48.9760993
10.71C,rue,DE L ORILLON,PARIS 11,75011,75,POINT (48.8870456 2.3138143),2.3138143,48.8870456
10.71C,rue,DE JESSAINT,PARIS 18,75018,75,POINT (48.8727126 2.3893899),2.3893899,48.8727126
10.71C,rue,DE CHARTRES,PARIS 18,75018,75,POINT (48.800200849999996 2.4769003912689813),2.4769003912689813,48.800200849999996
10.71C,rue,CARON,MARLES-EN-BRIE,77610,77,POINT (48.8323435 2.2896345),2.2896345,48.8323435
10.71C,rue,LAGRANGE,PARIS 5,75005,75,POINT (48.7993222 2.1278215),2.1278215,48.7993222
10.71C,rue,DAVY,PARIS 17,75017,75,POINT (48.9910845 2.431117),2.431117,48.9910845
10.71C,rue,DE LA BUTTE AUX CAILLES,PARIS 13,75013,75,POINT (48.854373 2.4154122),2.4154122,48.854373
10.71C,rue,DU LANDY,AUBERVILLIERS,93300,93,POINT (48.9205428 2.5369233),2.5369233,48.9205428
10.71C,boulevard,MAURICE RAVEL,SARCELLES,95200,95,POINT (48.8849068 2.3795902),2.3795902,48.8849068
10.71C,rue,TARBE,PARIS 17,75017,75,POINT (48.8791713 2.297005),2.297005,48.8791713
10.71C,place,DU 14 JUILLET,SAINT-MAUR-DES-FOSSES,94100,94,POINT (48.6927702 2.4920766),2.4920766,48.6927702
10.71C,boulevard,LEFEBVRE,PARIS 15,75015,75,POINT (48.8246754 2.3758421),2.3758421,48.8246754
10.71C,rue,ROYALE,VERSAILLES,78000,78,POINT (48.8725661 2.3790355),2.3790355,48.8725661
10.71C,avenue,GEORGES POMPIDOU,GONESSE,95500,95,POINT (48.8720351 2.3430703),2.3430703,48.8720351
10.71C,rue,DE PARIS,MONTREUIL,93100,93,POINT (48.991001 2.2322887),2.2322887,48.991001
10.71C,rue,FRANCOIS VILLON,LIVRY-GARGAN,93190,93,POINT (48.8595322 2.4049806),2.4049806,48.8595322
10.71C,avenue,DE LAUMIERE,PARIS 19,75019,75,POINT (48.8196076 2.3644444),2.3644444,48.8196076
10.71C,rue,PONCELET,PARIS 17,75017,75,POINT (48.8071152 2.2784853),2.2784853,48.8071152
10.71C,rue,LA BRUYERE,PARIS 9,75009,75,POINT (48.8736747 2.1814953),2.1814953,48.8736747
10.71C,place,DE LA FONTAINE,MOISSY-CRAMAYEL,77550,77,POINT (48.8519991 2.3463164),2.3463164,48.8519991
10.71C,rue,DE PATAY,PARIS 13,75013,75,POINT (48.8196329 2.1995775),2.1995775,48.8196329
10.71C,rue,DE BELLEVILLE,PARIS 20,75020,75,POINT (48.8515613 3.2399199),3.2399199,48.8515613
10.71C,rue,DU FAUBOURG MONTMARTRE,PARIS 9,75009,75,POINT (48.8100959 2.4379419),2.4379419,48.8100959
10.71C,boulevard,MAURICE BERTEAUX,FRANCONVILLE,95130,95,POINT (48.7808152 3.3052495),3.3052495,48.7808152
10.71C,rue,SAINT BLAISE,PARIS 20,75020,75,POINT (48.9832095 1.9117342),1.9117342,48.9832095
10.71C,rue,BERANGER,CHATILLON,92320,92,POINT (48.5361282 2.6441559),2.6441559,48.5361282
10.71C,rue,DU CHATEAU,RUEIL-MALMAISON,92500,92,POINT (48.8564367 2.3060488),2.3060488,48.8564367
10.71C,rue,SAINT JACQUES,PARIS 5,75005,75,POINT (49.0607154 2.0660554),2.0660554,49.0607154
10.71C,,DU CLOS DES FRANCAIS,MONTREUIL,93100,93,POINT (48.8631186 2.4045321),2.4045321,48.8631186
10.71C,rue,LOUIS AUGUSTE BLANQUI,BONDY,93140,93,POINT (48.8880875 2.3844013),2.3844013,48.8880875
10.71C,avenue,ROGER SALENGRO,CHAVILLE,92370,92,POINT (48.8389263 2.3908221),2.3908221,48.8389263
10.71C,avenue,DE L'INDUSTRIE,REBAIS,77510,77,POINT (48.9387772 2.1579005),2.1579005,48.9387772
10.71C,avenue,GAMBETTA,MAISONS-ALFORT,94700,94,POINT (48.8590557 2.5200155),2.5200155,48.8590557
10.71C,place,PASTEUR,LA FERTE-GAUCHER,77320,77,POINT (48.8561799 2.2933125),2.2933125,48.8561799
10.71C,rue,ARISTIDE BRIAND,LES MUREAUX,78130,78,POINT (48.8379461 2.3209346),2.3209346,48.8379461
10.71C,rue,DES ROSIERS,VERNEUIL-SUR-SEINE,78480,78,POINT (48.8953716 2.3510906),2.3510906,48.8953716
10.71C,rue,ARISTIDE BRIAND,LE MEE-SUR-SEINE,77350,77,POINT (48.8746185 2.3829012),2.3829012,48.8746185
10.71C,rue,DU CHAMP DE MARS,PARIS 7,75007,75,POINT (48.856949900000004 2.909690232779775),2.909690232779775,48.856949900000004
10.71C,rue,ARISTIDE BRIAND,OSNY,95520,95,POINT (48.6826783 2.363049),2.363049,48.6826783
10.71C,rue,PELLEPORT,PARIS 20,75020,75,POINT (48.8268148 1.9757378),1.9757378,48.8268148
10.71C,rue,DE L OURCQ,PARIS 19,75019,75,POINT (48.9046422 2.3381955),2.3381955,48.9046422
10.71C,boulevard,DE REUILLY,PARIS 12,75012,75,POINT (49.20501 1.6779513),1.6779513,49.20501
10.71C,avenue,JEAN JAURES,SARTROUVILLE,78500,78,POINT (48.9236867 2.5377901),2.5377901,48.9236867
10.71C,avenue,DE SUFFREN,PARIS 15,75015,75,POINT (48.8646418 2.3352895),2.3352895,48.8646418
10.71C,rue,VERCINGETORIX,PARIS 14,75014,75,POINT (48.5126586 3.2485483),3.2485483,48.5126586
10.71C,place,LES COPAINS D ABORD,EVRY-COURCOURONNES,91080,91,POINT (48.5583524 3.3029908),3.3029908,48.5583524
10.71C,rue,DES POISSONNIERS,PARIS 18,75018,75,POINT (48.8650353 2.4088858),2.4088858,48.8650353
10.71C,rue,CHAMPIONNET,PARIS 18,75018,75,POINT (48.7783675 1.8091961),1.8091961,48.7783675
10.71C,avenue,SIMON BOLIVAR,PARIS 19,75019,75,POINT (48.4334443 2.1665209),2.1665209,48.4334443
10.71C,place,DU MARCHE,CRECY-LA-CHAPELLE,77580,77,POINT (48.8590631 2.3830318),2.3830318,48.8590631
10.71C,rue,DE LA PAIX,SAVIGNY-SUR-ORGE,91600,91,POINT (48.9098282 2.272517),2.272517,48.9098282
10.71C,rue,DES DAMES,LES CLAYES-SOUS-BOIS,78340,78,POINT (48.8935933 2.4360238),2.4360238,48.8935933
10.71C,rue,ROUGET DE L'ISLE,SAINT-CLAIR-SUR-EPTE,95770,95,POINT (48.8846806 2.3623964),2.3623964,48.8846806
10.71C,avenue,CESAR COLLAVERI,LIVRY-GARGAN,93190,93,POINT (48.888517 2.304941),2.304941,48.888517
10.71C,avenue,DE L AQUEDUC,LA CELLE-SAINT-CLOUD,78170,78,POINT (48.8599073 2.4015373),2.4015373,48.8599073
10.71C,place,DU COMTE DE BENDERN,LA CELLE-SAINT-CLOUD,78170,78,POINT (48.8935933 2.4360238),2.4360238,48.8935933
10.71C,rue,MOLIERE,PARIS 1,75001,75,POINT (48.7166469 2.4864453),2.4864453,48.7166469
10.71C,rue,MARCEL RIGNAULT,LONGUEVILLE,77650,77,POINT (48.8721701 2.4188752),2.4188752,48.8721701
10.71C,rue,VICTOR ARNOUL,PROVINS,77160,77,POINT (48.6642595 2.567482),2.567482,48.6642595
10.71C,boulevard,MORTIER,PARIS 20,75020,75,POINT (49.0695468 2.567912),2.567912,49.0695468
10.71C,rue,DE VERSAILLES,MONTFORT L'AMAURY,78490,78,POINT (48.7026452 2.5449994),2.5449994,48.7026452
10.71C,rue,DE LA REPUBLIQUE,ETAMPES,91150,91,POINT (48.859108 2.2834513),2.2834513,48.859108
10.71C,rue,SAINT MAUR,PARIS 11,75011,75,POINT (48.3744979 2.8105498),2.8105498,48.3744979
10.71C,rue,DES BOURGUIGNONS,ASNIERES-SUR-SEINE,92600,92,POINT (48.8369634 2.3071401),2.3071401,48.8369634
10.71C,avenue,GASTON ROUSSEL,ROMAINVILLE,93230,93,POINT (48.8807206 2.2407313),2.2407313,48.8807206
10.71C,rue,DES ECOUFFES,PARIS 4,75004,75,POINT (48.7563328 2.1844595),2.1844595,48.7563328
10.71C,rue,WASHINGTON,PARIS 8,75008,75,POINT (48.7563328 2.1844595),2.1844595,48.7563328
10.71C,boulevard,DE LA CHAPELLE,PARIS 18,75018,75,POINT (48.7994788 2.1250489),2.1250489,48.7994788
10.71C,rue,JULIETTE LAMBER,PARIS 17,75017,75,POINT (48.7997093 2.1244813),2.1244813,48.7997093
10.71C,rue,DES PYRENEES,PARIS 20,75020,75,POINT (48.7900796 2.611432),2.611432,48.7900796
10.71C,avenue,GASTON ROUSSEL,ROMAINVILLE,93230,93,POINT (48.8908895 2.2887822),2.2887822,48.8908895
10.71C,rue,CHARLES DE GAULLE,YERRES,91330,91,POINT (48.8016916 2.4215609),2.4215609,48.8016916
10.71C,avenue,GAMBETTA,BAGNOLET,93170,93,POINT (48.821861 2.2643932),2.2643932,48.821861
10.71C,rue,SOMMEVILLE,COMBS-LA-VILLE,77380,77,POINT (48.9974848 2.3533029),2.3533029,48.9974848
10.71C,rue,CHARLES DE GAULLE,VEMARS,95470,95,POINT (49.0070519 2.3180078),2.3180078,49.0070519
10.71C,place,ARISTIDE BRIAND,MANDRES-LES-ROSES,94520,94,POINT (48.8571864 2.2726514),2.2726514,48.8571864
10.71C,avenue,DE FONTAINEBLEAU,MORET-LOING-ET-ORVANNE,77250,77,POINT (48.5196202 2.6407717),2.6407717,48.5196202
10.71C,rue,DUTOT,PARIS 15,75015,75,POINT (48.8596635 2.3788832),2.3788832,48.8596635
10.71C,rue,DU MAL FOCH,VERSAILLES,78000,78,POINT (48.8576817 2.3703651),2.3703651,48.8576817
10.71C,rue,DU MAL FOCH,VERSAILLES,78000,78,POINT (48.9543995 2.2547577),2.2547577,48.9543995
10.71C,rue,DU GENERAL LECLERC,VERSAILLES,78000,78,POINT (48.8499084 2.3910057),2.3910057,48.8499084
10.71C,rue,DE SATORY,VERSAILLES,78000,78,POINT (48.8499084 2.3910057),2.3910057,48.8499084
10.71C,avenue,DES ANEMONES,PONTAULT-COMBAULT,77340,77,POINT (49.0279688 2.1024591),2.1024591,49.0279688
10.71C,rue,PAUL VAILLANT COUTURIER,ALFORTVILLE,94140,94,POINT (48.8631186 2.4045321),2.4045321,48.8631186
10.71C,avenue,VICTOR CRESSON,ISSY-LES-MOULINEAUX,92130,92,POINT (48.8870009 2.1556441),2.1556441,48.8870009
10.71C,rue,DE MONTMORENCY,SAINT-BRICE-SOUS-FORET,95350,95,POINT (48.88726 2.3547404),2.3547404,48.88726
10.71C,rue,RACINE,MONTMORENCY,95160,95,POINT (48.8953716 2.3510906),2.3510906,48.8953716
10.71C,avenue,MOZART,PARIS 16,75016,75,POINT (49.0399586 2.0754511),2.0754511,49.0399586
10.71C,,DU PAVE BLANC,CLAMART,92140,92,POINT (48.8294546 2.356524),2.356524,48.8294546
10.71C,avenue,STENDHAL,CLAMART,92140,92,POINT (48.8368488 2.3494536),2.3494536,48.8368488
10.71C,avenue,DU MARECHAL FOCH,DAMMARIE-LES-LYS,77190,77,POINT (48.7810067 2.5318674),2.5318674,48.7810067
10.71C,avenue,PARMENTIER,PARIS 11,75011,75,POINT (48.8387904 2.2321071),2.2321071,48.8387904
10.71C,boulevard,DE BELLEVILLE,PARIS 11,75011,75,POINT (48.7407106 2.7362322),2.7362322,48.7407106
