activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.61Z,avenue,JEAN JAURES,CLAMART,92023,92,POINT (2.2635116 48.8006735),2.2635116,48.8006735
47.61Z,rue,MONGE,PARIS 5,75105,75,POINT (2.3496153 48.8493916),2.3496153,48.8493916
47.61Z,rue,DU ROI DE SICILE,PARIS 4,75104,75,POINT (2.3606593 48.8556412),2.3606593,48.8556412
47.61Z,rue,LEPIC,PARIS 18,75118,75,POINT (2.3339121 48.8848279),2.3339121,48.8848279
47.61Z,rue,CAMILLE DESMOULINS,CACHAN,94016,94,POINT (2.3328672 48.7924539),2.3328672,48.7924539
47.61Z,rue,DANTE,PARIS 5,75105,75,POINT (2.3467438 48.8511997),2.3467438,48.8511997
47.61Z,rue,DU MAINE,PARIS 14,75114,75,POINT (2.3228366 48.8406507),2.3228366,48.8406507
47.61Z,rue,DES FRANCS BOURGEOIS,PARIS 3,75103,75,POINT (2.3640202 48.8565084),2.3640202,48.8565084
47.61Z,rue,NOTRE DAME DES CHAMPS,PARIS 6,75106,75,POINT (2.3284622 48.8452463),2.3284622,48.8452463
47.61Z,rue,NEUVE DES BOULETS,PARIS 11,75111,75,POINT (2.3889424 48.8541037),2.3889424,48.8541037
47.61Z,rue,DU CHERCHE MIDI,PARIS 6,75106,75,POINT (2.3290882 48.8513423),2.3290882,48.8513423
47.61Z,rue,DU GENERAL DE GAULLE,ENGHIEN-LES-BAINS,95210,95,POINT (2.3095767 48.9723791),2.3095767,48.9723791
47.61Z,rue,DES ENTREPRENEURS,PARIS 15,75115,75,POINT (2.2911074 48.8444202),2.2911074,48.8444202
47.61Z,rue,DE FONTENAY,VINCENNES,94080,94,POINT (2.432803 48.8485432),2.432803,48.8485432
47.61Z,rue,DE FONTENAY,VINCENNES,94080,94,POINT (2.432803 48.8485432),2.432803,48.8485432
47.61Z,rue,VOLTAIRE,LEVALLOIS-PERRET,92044,92,POINT (2.2846059 48.8921019),2.2846059,48.8921019
