activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.22Z,boulevard,SOULT,PARIS 12,75112,75,POINT (2.4083717 48.8370594),2.4083717,48.8370594
47.22Z,place,BERLIOZ,VILLIERS-LE-BEL,95680,95,POINT (2.3994586 49.0056473),2.3994586,49.0056473
47.22Z,rue,HENRI SADIER,BEAUMONT-SUR-OISE,95052,95,POINT (2.2859284 49.1434212),2.2859284,49.1434212
47.22Z,rue,DU CAPITAINE DREYFUS,MONTREUIL,93048,93,POINT (2.4410477 48.8604457),2.4410477,48.8604457
47.22Z,avenue,GABRIEL PERI,SAINTE-GENEVIEVE-DES-BOIS,91549,91,POINT (2.3339452 48.6453262),2.3339452,48.6453262
47.22Z,avenue,MONGE,CHELLES,77108,77,POINT (2.5892979 48.9061498),2.5892979,48.9061498
47.22Z,boulevard,SAINT MARCEL,PARIS 13,75113,75,POINT (2.3599413 48.8391286),2.3599413,48.8391286
47.22Z,rue,DE BELZUNCE,PARIS 10,75110,75,POINT (2.3522417 48.8795224),2.3522417,48.8795224
47.22Z,rue,DES CHEVRINS,GENNEVILLIERS,92036,92,POINT (2.2915961 48.9319549),2.2915961,48.9319549
47.22Z,avenue,MOZART,PARIS 16,75116,75,POINT (2.2726514 48.8571864),2.2726514,48.8571864
47.22Z,boulevard,JEAN JAURES,BOULOGNE-BILLANCOURT,92012,92,POINT (2.238081 48.8432647),2.238081,48.8432647
47.22Z,rue,DU MONT VALERIEN,SAINT-CLOUD,92064,92,POINT (2.213607 48.8593753),2.213607,48.8593753
47.22Z,rue,DE LA ROQUETTE,PARIS 11,75111,75,POINT (2.3710719 48.8541707),2.3710719,48.8541707
47.22Z,rue,DE GRENELLE,PARIS 7,75107,75,POINT (2.3150661 48.8579688),2.3150661,48.8579688
47.22Z,rue,DES VERGERS,LES ALLUETS-LE-ROI,78010,78,POINT (1.9109267 48.9117061),1.9109267,48.9117061
47.22Z,rue,D ENGHIEN,PARIS 10,75110,75,POINT (2.3523694 48.871814),2.3523694,48.871814
47.22Z,boulevard,BARBES,PARIS 18,75118,75,POINT (2.3497069 48.884873),2.3497069,48.884873
47.22Z,rue,D EPINAY,ARGENTEUIL,95018,95,POINT (2.2619052 48.9486459),2.2619052,48.9486459
47.22Z,boulevard,ORNANO,PARIS 18,75118,75,POINT (2.3487987 48.8929343),2.3487987,48.8929343
47.22Z,place,JEAN MOULIN,SARCELLES,95585,95,POINT (2.3309017 48.9709124),2.3309017,48.9709124
47.22Z,boulevard,ORNANO,PARIS 18,75118,75,POINT (2.3487987 48.8929343),2.3487987,48.8929343
47.22Z,rue,DE LA REPUBLIQUE,DRANCY,93029,93,POINT (2.4456316 48.9219228),2.4456316,48.9219228
47.22Z,avenue,DE L ETOILE,NOISY-LE-GRAND,93051,93,POINT (2.570917 48.8321362),2.570917,48.8321362
47.22Z,avenue,DES GRESILLONS,GENNEVILLIERS,92036,92,POINT (2.3042577 48.916097),2.3042577,48.916097
47.22Z,rue,PAUL CHATROUSSE,NEUILLY-SUR-SEINE,92051,92,POINT (2.2610357 48.8863611),2.2610357,48.8863611
47.22Z,rue,DES TROIS BORNES,PARIS 11,75111,75,POINT (2.3720381 48.866454),2.3720381,48.866454
47.22Z,rue,JEAN PIERRE TIMBAUD,ISSY-LES-MOULINEAUX,92040,92,POINT (2.2493876 48.8179238),2.2493876,48.8179238
47.22Z,rue,D HAUTPOUL,PARIS 19,75119,75,POINT (2.3883483 48.8816039),2.3883483,48.8816039
47.22Z,rue,DE LA REPUBLIQUE,BEYNES,78062,78,POINT (1.8738229 48.8557037),1.8738229,48.8557037
47.22Z,place,ROBERT BRAULT,MONTFORT L'AMAURY,78420,78,POINT (1.8095018 48.7772713),1.8095018,48.7772713
47.22Z,rue,CALVIN ENFER,WY-DIT-JOLI-VILLAGE,95690,95,POINT (1.8111105 49.0879404),1.8111105,49.0879404
47.22Z,rue,DEMETZ,DOURDAN,91200,91,POINT (2.0120061 48.5293111),2.0120061,48.5293111
47.22Z,rue,LE MAROIS,PARIS 16,75116,75,POINT (2.26015 48.8382531),2.26015,48.8382531
47.22Z,rue,PIERRE BROSSOLETTE,ASNIERES-SUR-SEINE,92004,92,POINT (2.294613 48.9118189),2.294613,48.9118189
47.22Z,rue,ALBERT EINSTEIN,CHAMPS-SUR-MARNE,77083,77,POINT (2.5859148 48.836208),2.5859148,48.836208
47.22Z,avenue,DE FONTAINEBLEAU,LE KREMLIN-BICETRE,94043,94,POINT (2.3622359 48.810328),2.3622359,48.810328
47.22Z,boulevard,CHANZY,LIVRY-GARGAN,93046,93,POINT (2.5193108 48.9101097),2.5193108,48.9101097
47.22Z,rue,DE BELLEVILLE,PARIS 20,75120,75,POINT (2.3790355 48.8725661),2.3790355,48.8725661
47.22Z,rue,DE CHOISY,ALFORTVILLE,94002,94,POINT (2.4236467 48.7877425),2.4236467,48.7877425
47.22Z,avenue,MONDETOUR,CERGY,95127,95,POINT (2.031229 49.0471409),2.031229,49.0471409
47.22Z,avenue,DE LA MARNE,ASNIERES-SUR-SEINE,92004,92,POINT (2.2804402 48.9055525),2.2804402,48.9055525
47.22Z,rue,JEAN JAURES,NOISY-LE-SEC,93053,93,POINT (2.4550821 48.8918605),2.4550821,48.8918605
47.22Z,boulevard,SOULT,PARIS 12,75112,75,POINT (2.4083717 48.8370594),2.4083717,48.8370594
47.22Z,rue,JEAN PIERRE TIMBAUD,PARIS 11,75111,75,POINT (2.3673308 48.8651235),2.3673308,48.8651235
47.22Z,allée,GERMAINE,LIVRY-GARGAN,93046,93,POINT (2.520172 48.9064374),2.520172,48.9064374
47.22Z,rue,OBERKAMPF,PARIS 11,75111,75,POINT (2.3684923 48.8632024),2.3684923,48.8632024
47.22Z,boulevard,PAUL VAILLANT COUTURIER,IVRY-SUR-SEINE,94041,94,POINT (2.3976261 48.8183336),2.3976261,48.8183336
47.22Z,avenue,MAURICE UTRILLO,ARGENTEUIL,95018,95,POINT (2.2328308 48.9465815),2.2328308,48.9465815
47.22Z,rue,DES HUISSIERS,NEUILLY-SUR-SEINE,92051,92,POINT (2.2666785 48.8848503),2.2666785,48.8848503
47.22Z,avenue,D'ITALIE,PARIS 13,75113,75,POINT (2.356524 48.8294546),2.356524,48.8294546
47.22Z,place,DU MARCHE,MONTLHERY,91425,91,POINT (2.2713004 48.639686),2.2713004,48.639686
47.22Z,boulevard,DE REUILLY,PARIS 12,75112,75,POINT (2.3908221 48.8389263),2.3908221,48.8389263
47.22Z,avenue,DE CLICHY,PARIS 17,75117,75,POINT (2.3265353 48.8850945),2.3265353,48.8850945
47.22Z,avenue,PAUL CEZANNE,ELANCOURT,78208,78,POINT (1.9699026 48.76981),1.9699026,48.76981
47.22Z,place,MARC SANGNIER,GONESSE,95277,95,POINT (2.4228378573749874 49.0019165),2.4228378573749874,49.0019165
47.22Z,rue,LACUEE,PARIS 12,75112,75,POINT (2.3696792 48.8494691),2.3696792,48.8494691
47.22Z,rue,DIDIER DAURAT,MONTREUIL,93048,93,POINT (2.4573008 48.8677803),2.4573008,48.8677803
47.22Z,place,DE L'EGLISE,CHOISY-LE-ROI,94022,94,POINT (2.4072638541205587 48.766086200000004),2.4072638541205587,48.766086200000004
47.22Z,avenue,PASTEUR,TREMBLAY-EN-FRANCE,93073,93,POINT (2.5718247 48.9423665),2.5718247,48.9423665
47.22Z,rue,DES FRERES LUMIERE,RUEIL-MALMAISON,92063,92,POINT (2.1728847 48.8838744),2.1728847,48.8838744
47.22Z,avenue,LONGUEIL,MAISONS-LAFFITTE,78358,78,POINT (2.1463623 48.9468166),2.1463623,48.9468166
47.22Z,rue,DU MARECHAL FOCH,MEULAN-EN-YVELINES,78401,78,POINT (1.9085634 49.0051325),1.9085634,49.0051325
47.22Z,rue,LECOURBE,PARIS 15,75115,75,POINT (2.2956748 48.8404047),2.2956748,48.8404047
47.22Z,avenue,DE FLANDRE,PARIS 19,75119,75,POINT (2.3695869 48.8852901),2.3695869,48.8852901
47.22Z,allée,MARCEL SIMON,MEUDON,92048,92,POINT (2.2349068 48.7875003),2.2349068,48.7875003
47.22Z,rue,LOUISE MICHEL,LEVALLOIS-PERRET,92044,92,POINT (2.2835858 48.8867891),2.2835858,48.8867891
47.22Z,avenue,DU DAUPHINE,NEUILLY-SUR-MARNE,93050,93,POINT (2.5337979 48.8678117),2.5337979,48.8678117
47.22Z,rue,SAINT LOUIS EN L'ILE,PARIS 4,75104,75,POINT (2.3591776 48.8509303),2.3591776,48.8509303
47.22Z,place,DU DAMIER,GRIGNY,91286,91,POINT (2.381124871226527 48.651343999999995),2.381124871226527,48.651343999999995
47.22Z,rue,DE CLIGNANCOURT,PARIS 18,75118,75,POINT (2.3473906 48.885154),2.3473906,48.885154
47.22Z,rue,DE CHEVREUSE,MAUREPAS,78383,78,POINT (1.9270796 48.7619595),1.9270796,48.7619595
47.22Z,rue,DU COLONEL FABIEN,VALENTON,94074,94,POINT (2.4664466 48.7480587),2.4664466,48.7480587
47.22Z,rue,CHARLES DE GAULLE,SAINT-CHERON,91540,91,POINT (2.1220027 48.5534267),2.1220027,48.5534267
47.22Z,rue,RENE LEGE,COLOMBES,92025,92,POINT (2.230729 48.9181623),2.230729,48.9181623
47.22Z,avenue,GABRIEL PERI,ASNIERES-SUR-SEINE,92004,92,POINT (2.2957295 48.9159413),2.2957295,48.9159413
47.22Z,avenue,DU GENERAL LECLERC,BOURG-LA-REINE,92014,92,POINT (2.3184076 48.7875104),2.3184076,48.7875104
47.22Z,rue,DE PARIS,HOUDAN,78310,78,POINT (1.5899912 48.7895229),1.5899912,48.7895229
47.22Z,rue,ERNEST LAVISSE,POISSY,78498,78,POINT (2.0529426 48.926284),2.0529426,48.926284
47.22Z,place,DU MARCHE,THIAIS,94073,94,POINT (2.3913434256559762 48.7646983),2.3913434256559762,48.7646983
47.22Z,rue,HENRI BARBUSSE,AUBERVILLIERS,93001,93,POINT (2.3896761 48.9061457),2.3896761,48.9061457
47.22Z,boulevard,DU GENERAL LECLERC,NANTERRE,92050,92,POINT (2.2640245 48.891764),2.2640245,48.891764
47.22Z,rue,DE CHEZY,NEUILLY-SUR-SEINE,92051,92,POINT (2.2675242 48.8848896),2.2675242,48.8848896
47.22Z,boulevard,DE BELLEVILLE,PARIS 20,75120,75,POINT (2.382495 48.8676699),2.382495,48.8676699
47.22Z,rue,DE MEAUX,PARIS 19,75119,75,POINT (2.3713726 48.8791992),2.3713726,48.8791992
47.22Z,rue,LOUIS BLANC,PARIS 10,75110,75,POINT (2.3688767 48.8792172),2.3688767,48.8792172
47.22Z,avenue,D ARGENTEUIL,BOIS-COLOMBES,92009,92,POINT (2.2759534 48.923265),2.2759534,48.923265
47.22Z,rue,DE PARIS,EPINAY-SUR-SEINE,93031,93,POINT (2.304397 48.9567273),2.304397,48.9567273
47.22Z,rue,DANIELLE CASANOVA,SAINT-DENIS,93066,93,POINT (2.3667259 48.9260831),2.3667259,48.9260831
47.22Z,place,PASTEUR,MITRY-MORY,77294,77,POINT (2.5982053175490196 48.958671),2.5982053175490196,48.958671
47.22Z,rue,DU FAUBOURG DU TEMPLE,PARIS 11,75111,75,POINT (2.3655744 48.8682752),2.3655744,48.8682752
47.22Z,rue,DEMARQUAY,PARIS 10,75110,75,POINT (2.3594323 48.8809812),2.3594323,48.8809812
47.22Z,rue,JULES JOFFRIN,SAINT-DENIS,93066,93,POINT (2.356188 48.9373493),2.356188,48.9373493
47.22Z,rue,DE SARTROUVILLE,BEZONS,95063,95,POINT (2.2044586 48.9337069),2.2044586,48.9337069
47.22Z,rue,DE LA POMPE,PARIS 16,75116,75,POINT (2.2751919 48.8600618),2.2751919,48.8600618
47.22Z,rue,CHARLES DE GAULLE,DAMMARIE-LES-LYS,77152,77,POINT (2.6345151 48.5147571),2.6345151,48.5147571
47.22Z,place,STALINGRAD,MEUDON,92048,92,POINT (2.2346928 48.8148358),2.2346928,48.8148358
47.22Z,place,GENERAL DE GAULLE,LE RAINCY,93062,93,POINT (2.5350139 48.8842625),2.5350139,48.8842625
47.22Z,rue,CHARLES DE GAULLE,BURES-SUR-YVETTE,91122,91,POINT (2.1510137 48.6971219),2.1510137,48.6971219
47.22Z,rue,HENRI BARBUSSE,ARGENTEUIL,95018,95,POINT (2.2416761 48.9379809),2.2416761,48.9379809
47.22Z,avenue,DU COLONEL ROL TANGUY,STAINS,93072,93,POINT (2.3693721 48.9581457),2.3693721,48.9581457
47.22Z,rue,GEOFFROY MARIE,PARIS 9,75109,75,POINT (2.3439966 48.8736139),2.3439966,48.8736139
47.22Z,rue,DE BARNEAU,SOLERS,77457,77,POINT (2.7147946 48.6570169),2.7147946,48.6570169
47.22Z,rue,GRANDE,SAMOREAU,77442,77,POINT (2.7521798 48.4237275),2.7521798,48.4237275
47.22Z,rue,DE PARIS,LES LILAS,93045,93,POINT (2.4116234 48.8786082),2.4116234,48.8786082
47.22Z,rue,DU 26 AOUT 1944,LE CHATELET-EN-BRIE,77100,77,POINT (2.791617 48.5051071),2.791617,48.5051071
47.22Z,rue,DU MIDI,VINCENNES,94080,94,POINT (2.4386198 48.8471167),2.4386198,48.8471167
47.22Z,avenue,DE LA LIBERTE,COURBEVOIE,92026,92,POINT (2.2684442 48.9043615),2.2684442,48.9043615
47.22Z,rue,RODIN,CHAMPIGNY-SUR-MARNE,94017,94,POINT (2.5508143 48.8053271),2.5508143,48.8053271
47.22Z,avenue,DE LA GARE,COIGNIERES,78168,78,POINT (1.9211931 48.7435947),1.9211931,48.7435947
47.22Z,boulevard,VICTOR HUGO,CLICHY,92024,92,POINT (2.3109652 48.8977279),2.3109652,48.8977279
47.22Z,rue,DU 19 MARS 1962,SAINT-DENIS,93066,93,POINT (2.3513693 48.9470701),2.3513693,48.9470701
47.22Z,rue,HOCHE,HOUILLES,78311,78,POINT (2.1822134 48.9248801),2.1822134,48.9248801
47.22Z,boulevard,MORTIER,PARIS 20,75120,75,POINT (2.4088858 48.8650353),2.4088858,48.8650353
47.22Z,rue,DU 11 NOVEMBRE 1918,ORLY,94054,94,POINT (2.4041777 48.7408169),2.4041777,48.7408169
47.22Z,rue,RIQUET,PARIS 19,75119,75,POINT (2.3744174 48.8882682),2.3744174,48.8882682
47.22Z,rue,DE PARIS,MONTREUIL,93048,93,POINT (2.4154122 48.854373),2.4154122,48.854373
